"Ancienneté_an","Distance domicile/Travail","Service","Work_accident","Niveau de satisfaction","Contrat","Durée hebdo","Salaire base mensuel","%variable_moyen","Augmentation","Promotion","Contrat (right)","Durée hebdo (right)","Salaire base mensuel (right)","%variable_moyen (right)","Augmentation (right)","Promotion (right)","Sexe","Date_naissance"
1.4,42,"Consultant","Non",18,"CDD",35,3168.3167,10,,,"CDD",35,3168.3167,10,,,"F","1971"
5.8,59,"RH","Oui",46,"CDI",35,4499.95,22,1,0,"CDI",35,4499.95,22,1,0,"H","1965"
1.4,67,"Marketing","Non",19,"CDD",35,1989.8667,5,,,"CDD",35,1989.8667,5,,,"H","1980"
2.5,55,"Marketing","Non",67,"CDI",35,1863.9833,12,1,1,"CDI",35,1863.9833,12,1,1,"F","1983"
9.1,46,"R&D","Oui",74,"CDI",35,9366.9333,8,1,1,"CDI",35,9366.9333,8,1,1,"F","1971"
23.9,37,"Marketing","Non",1,"CDI",24,6842.16,21,1,1,"CDI",24,6842.16,21,1,1,"H","1959"
1.7,60,"Commercial","Oui",58,"CDD",35,3185,3,,,"CDD",35,3185,3,,,"F","1971"
22.4,48,"Marketing","Non",81,"CDI",35,3582.3667,30,1,1,"CDI",35,3582.3667,30,1,1,"H","1970"
8.2,25,"Compta Finances","Non",17,"CDI",35,1833.65,8,0,1,"CDI",35,1833.65,8,0,1,"H","1962"
4.2,40,"R&D","Oui",4,"CDI",35,6356.35,26,1,0,"CDI",35,6356.35,26,1,0,"F","1982"
0.4,17,"Consultant","Oui",24,"CDD",35,3033.3333,8,,,"CDD",35,3033.3333,8,,,"F","1956"
3.8,30,"Consultant","Non",77,"CDI",35,7672.8167,37,1,1,"CDI",35,7672.8167,37,1,1,"F","1975"
6.3,17,"Consultant","Oui",30,"CDI",24,1110.72,14,1,1,"CDI",24,1110.72,14,1,1,"H","1966"
7.3,9,"Consultant","Oui",51,"CDI",24,5448.56,30,0,1,"CDI",24,5448.56,30,0,1,"H","1963"
19,3,"Compta Finances","Non",15,"CDI",35,1835.1667,6,0,1,"CDI",35,1835.1667,6,0,1,"H","1979"
10.3,31,"Compta Finances","Non",32,"CDI",35,8056.5333,13,0,1,"CDI",35,8056.5333,13,0,1,"F","1958"
7.4,62,"Consultant","Oui",72,"CDI",35,9737,12,1,1,"CDI",35,9737,12,1,1,"H","1965"
23.9,47,"Commercial","Oui",86,"CDI",35,5581.3333,20,1,0,"CDI",35,5581.3333,20,1,0,"F","1977"
16.2,66,"RH","Non",46,"CDI",35,5056.5667,24,1,1,"CDI",35,5056.5667,24,1,1,"F","1984"
10.7,30,"RH","Oui",1,"CDI",35,9039.3333,20,1,1,"CDI",35,9039.3333,20,1,1,"H","1987"
1.9,15,"Commercial","Oui",76,"CDD",35,2881.6667,27,,,"CDD",35,2881.6667,27,,,"F","1964"
9.7,30,"RH","Non",29,"CDI",35,6175.8667,38,0,1,"CDI",35,6175.8667,38,0,1,"H","1987"
0.6,14,"Marketing","Oui",70,"CDD",35,2426.6667,21,,,"CDD",35,2426.6667,21,,,"F","1967"
23,3,"Compta Finances","Oui",65,"CDI",35,7898.8,35,0,1,"CDI",35,7898.8,35,0,1,"F","1956"
21.1,61,"Consultant","Oui",1,"CDI",35,9447.3167,0,1,1,"CDI",35,9447.3167,0,1,1,"H","1970"
21.6,14,"Commercial","Oui",62,"CDI",35,2396.3333,11,0,1,"CDI",35,2396.3333,11,0,1,"H","1968"
8.3,50,"R&D","Non",93,"CDI",35,8716.2833,20,0,0,"CDI",35,8716.2833,20,0,0,"H","1984"
16.2,21,"Consultant","Oui",3,"CDI",35,2731.5167,4,1,1,"CDI",35,2731.5167,4,1,1,"F","1968"
10.8,27,"Commercial","Oui",78,"CDI",35,7942.7833,38,1,0,"CDI",35,7942.7833,38,1,0,"F","1971"
6.5,68,"Consultant","Oui",89,"CDI",35,7178.3833,38,1,0,"CDI",35,7178.3833,38,1,0,"H","1983"
15.7,48,"Consultant","Non",50,"CDI",35,5585.8833,17,1,0,"CDI",35,5585.8833,17,1,0,"F","1983"
20.4,55,"RH","Non",78,"CDI",35,8277.9667,10,0,0,"CDI",35,8277.9667,10,0,0,"H","1979"
12.8,20,"Commercial","Oui",52,"CDI",35,2369.0333,20,0,0,"CDI",35,2369.0333,20,0,0,"F","1981"
20.6,13,"Marketing","Oui",99,"CDI",35,3462.55,3,1,0,"CDI",35,3462.55,3,1,0,"H","1976"
9.2,21,"Commercial","Oui",79,"CDI",35,2511.6,21,0,1,"CDI",35,2511.6,21,0,1,"H","1979"
20.1,12,"Consultant","Non",25,"CDI",35,9400.3,3,1,1,"CDI",35,9400.3,3,1,1,"H","1961"
1.1,9,"Marketing","Oui",96,"CDD",35,3640,6,,,"CDD",35,3640,6,,,"F","1971"
5.5,43,"Consultant","Non",47,"CDI",35,1774.5,16,1,1,"CDI",35,1774.5,16,1,1,"F","1968"
16.8,60,"Marketing","Oui",38,"CDI",35,3597.5333,32,1,1,"CDI",35,3597.5333,32,1,1,"F","1977"
8.2,65,"Marketing","Oui",1,"CDI",24,5951.92,32,1,0,"CDI",24,5951.92,32,1,0,"F","1966"
0.8,8,"Compta Finances","Oui",45,"CDD",35,3201.6833,38,,,"CDD",35,3201.6833,38,,,"F","1990"
7.5,6,"RH","Non",90,"CDI",35,3335.15,28,1,0,"CDI",35,3335.15,28,1,0,"H","1962"
12,66,"Consultant","Oui",46,"CDI",35,4712.2833,26,1,1,"CDI",35,4712.2833,26,1,1,"F","1976"
24.9,62,"Commercial","Non",17,"CDI",35,5984.7667,6,0,1,"CDI",35,5984.7667,6,0,1,"H","1970"
5.3,30,"Commercial","Oui",97,"CDI",35,2928.6833,33,1,1,"CDI",35,2928.6833,33,1,1,"F","1962"
9.7,28,"Consultant","Oui",39,"CDI",35,6301.75,34,0,1,"CDI",35,6301.75,34,0,1,"F","1958"
19.3,23,"RH","Non",23,"CDI",35,3218.3667,27,1,0,"CDI",35,3218.3667,27,1,0,"F","1966"
4.4,67,"Consultant","Oui",81,"CDI",35,1803.3167,8,1,0,"CDI",35,1803.3167,8,1,0,"H","1984"
12.7,16,"RH","Oui",84,"CDI",35,7263.3167,30,1,0,"CDI",35,7263.3167,30,1,0,"H","1962"
4.2,65,"Marketing","Oui",40,"CDI",35,2912,35,0,1,"CDI",35,2912,35,0,1,"F","1960"
7.1,38,"Consultant","Non",80,"CDI",35,6409.4333,21,0,1,"CDI",35,6409.4333,21,0,1,"H","1963"
16.4,23,"Compta Finances","Non",44,"CDI",35,1772.9833,20,1,1,"CDI",35,1772.9833,20,1,1,"H","1965"
17.3,45,"Commercial","Non",21,"CDI",35,6902.35,17,0,1,"CDI",35,6902.35,17,0,1,"F","1981"
5.6,7,"Consultant","Oui",33,"CDI",24,4795.44,19,0,1,"CDI",24,4795.44,19,0,1,"H","1986"
20.4,9,"RH","Non",39,"CDI",35,3803.8,30,0,0,"CDI",35,3803.8,30,0,0,"H","1974"
11.7,43,"Consultant","Non",1,"CDI",35,3547.4833,39,1,0,"CDI",35,3547.4833,39,1,0,"F","1979"
10.2,42,"Commercial","Non",98,"CDI",35,2916.55,35,1,1,"CDI",35,2916.55,35,1,1,"F","1978"
11.9,16,"Compta Finances","Non",68,"CDI",24,1059.76,1,0,1,"CDI",24,1059.76,1,0,1,"F","1982"
10,21,"Commercial","Oui",42,"CDI",35,7927.6167,32,1,0,"CDI",35,7927.6167,32,1,0,"H","1971"
5.2,34,"Compta Finances","Non",42,"CDI",35,8332.5667,12,0,0,"CDI",35,8332.5667,12,0,0,"F","1978"
22.3,37,"Marketing","Non",74,"CDI",35,4082.8667,28,0,1,"CDI",35,4082.8667,28,0,1,"F","1973"
17.2,48,"Commercial","Oui",40,"CDI",35,9785.5333,28,0,1,"CDI",35,9785.5333,28,0,1,"H","1981"
14.2,8,"Compta Finances","Non",28,"CDI",35,4421.0833,6,1,1,"CDI",35,4421.0833,6,1,1,"H","1965"
12.5,11,"Consultant","Non",69,"CDI",35,2843.75,2,0,0,"CDI",35,2843.75,2,0,0,"H","1969"
21.5,55,"RH","Oui",87,"CDI",35,8563.1,7,0,0,"CDI",35,8563.1,7,0,0,"H","1974"
22.2,37,"Compta Finances","Non",52,"CDI",35,4988.3167,8,0,0,"CDI",35,4988.3167,8,0,0,"H","1967"
9.2,65,"Consultant","Oui",5,"CDI",28,7269.08,7,1,1,"CDI",28,7269.08,7,1,1,"H","1967"
12.4,41,"Marketing","Non",32,"CDI",35,1669.85,22,1,0,"CDI",35,1669.85,22,1,0,"H","1989"
23.2,29,"Commercial","Oui",39,"CDI",35,7098,1,1,1,"CDI",35,7098,1,1,1,"H","1968"
22.8,67,"R&D","Oui",4,"CDI",35,6526.2167,36,0,1,"CDI",35,6526.2167,36,0,1,"H","1957"
11.7,54,"Compta Finances","Oui",96,"CDI",35,8422.05,38,0,1,"CDI",35,8422.05,38,0,1,"F","1963"
6.3,29,"Commercial","Oui",14,"CDI",35,8337.1167,16,0,1,"CDI",35,8337.1167,16,0,1,"H","1982"
10.5,56,"Commercial","Non",13,"CDI",35,9777.95,4,1,0,"CDI",35,9777.95,4,1,0,"F","1975"
22.6,47,"Commercial","Non",95,"CDI",35,3677.9167,33,0,0,"CDI",35,3677.9167,33,0,0,"H","1979"
22.7,4,"Marketing","Non",45,"CDI",35,9940.2333,24,0,0,"CDI",35,9940.2333,24,0,0,"H","1976"
23.5,14,"Consultant","Oui",66,"CDI",35,2777.0167,10,1,0,"CDI",35,2777.0167,10,1,0,"H","1959"
24.3,35,"Commercial","Non",47,"CDI",35,6818.9333,14,1,0,"CDI",35,6818.9333,14,1,0,"F","1970"
24.2,58,"Marketing","Non",29,"CDI",35,4424.1167,30,0,0,"CDI",35,4424.1167,30,0,0,"F","1969"
10,16,"RH","Oui",58,"CDI",35,9928.1,27,1,0,"CDI",35,9928.1,27,1,0,"H","1985"
1.8,6,"Compta Finances","Non",84,"CDD",35,2123.3333,39,,,"CDD",35,2123.3333,39,,,"F","1959"
15.7,69,"Compta Finances","Non",48,"CDI",35,4263.35,31,0,0,"CDI",35,4263.35,31,0,0,"H","1963"
19.4,38,"Commercial","Non",44,"CDI",35,8629.8333,3,0,0,"CDI",35,8629.8333,3,0,0,"F","1969"
24.4,39,"R&D","Oui",32,"CDI",35,4663.75,5,0,1,"CDI",35,4663.75,5,0,1,"F","1960"
20.6,64,"RH","Oui",11,"CDI",24,4851.6,14,0,0,"CDI",24,4851.6,14,0,0,"F","1980"
5.9,23,"Marketing","Non",37,"CDI",35,5930.1667,33,0,0,"CDI",35,5930.1667,33,0,0,"H","1973"
21.9,55,"Commercial","Non",77,"CDI",35,7496.8833,6,1,0,"CDI",35,7496.8833,6,1,0,"F","1975"
11.7,68,"RH","Oui",69,"CDI",35,8108.1,38,0,0,"CDI",35,8108.1,38,0,0,"F","1983"
20.5,45,"Commercial","Oui",7,"CDI",35,6121.2667,32,0,0,"CDI",35,6121.2667,32,0,0,"H","1978"
16.2,55,"Marketing","Oui",51,"CDI",35,4563.65,38,1,0,"CDI",35,4563.65,38,1,0,"F","1968"
13,26,"Compta Finances","Oui",78,"CDI",35,9978.15,34,0,1,"CDI",35,9978.15,34,0,1,"H","1970"
10.2,35,"Marketing","Non",92,"CDI",35,4624.3167,15,0,0,"CDI",35,4624.3167,15,0,0,"H","1977"
13.7,34,"Compta Finances","Oui",40,"CDI",35,2079.35,7,1,1,"CDI",35,2079.35,7,1,1,"F","1968"
13.2,44,"Consultant","Non",37,"CDI",24,2055.04,12,0,1,"CDI",24,2055.04,12,0,1,"H","1956"
18.7,26,"Commercial","Oui",48,"CDI",35,9573.2,7,0,0,"CDI",35,9573.2,7,0,0,"H","1969"
12.6,33,"Consultant","Oui",82,"CDI",35,4289.1333,12,0,1,"CDI",35,4289.1333,12,0,1,"F","1955"
21.8,31,"Marketing","Oui",75,"CDI",35,8056.5333,14,0,0,"CDI",35,8056.5333,14,0,0,"F","1968"
0.3,42,"Marketing","Non",25,"CDD",35,3693.0833,24,,,"CDD",35,3693.0833,24,,,"H","1977"
9.8,22,"RH","Non",77,"CDI",35,5106.6167,10,0,1,"CDI",35,5106.6167,10,0,1,"F","1968"
1.2,12,"Consultant","Non",100,"CDD",32,2357.3333,12,,,"CDD",32,2357.3333,12,,,"H","1966"
17,28,"Commercial","Oui",42,"CDI",35,3260.8333,30,1,0,"CDI",35,3260.8333,30,1,0,"F","1981"
2.9,3,"Consultant","Non",2,"CDI",35,4449.9,33,1,1,"CDI",35,4449.9,33,1,1,"H","1966"
22.2,28,"RH","Non",63,"CDI",35,7877.5667,36,1,0,"CDI",35,7877.5667,36,1,0,"F","1971"
8.3,63,"Consultant","Non",50,"CDI",35,4281.55,13,1,0,"CDI",35,4281.55,13,1,0,"H","1980"
22.8,62,"Consultant","Non",34,"CDI",35,4134.4333,22,0,0,"CDI",35,4134.4333,22,0,0,"H","1977"
8.8,13,"Marketing","Non",25,"CDI",35,3256.2833,34,0,0,"CDI",35,3256.2833,34,0,0,"F","1963"
20.2,65,"Consultant","Oui",63,"CDI",35,6591.4333,19,0,0,"CDI",35,6591.4333,19,0,0,"F","1957"
8.7,60,"Compta Finances","Oui",26,"CDI",35,8696.5667,37,0,1,"CDI",35,8696.5667,37,0,1,"H","1957"
21.1,5,"Consultant","Non",59,"CDI",35,2073.2833,28,0,1,"CDI",35,2073.2833,28,0,1,"F","1974"
9.3,35,"Consultant","Non",62,"CDI",28,5097.2133,10,1,0,"CDI",28,5097.2133,10,1,0,"H","1974"
7.5,70,"RH","Oui",86,"CDI",35,7710.7333,27,0,1,"CDI",35,7710.7333,27,0,1,"H","1981"
11.8,46,"RH","Non",49,"CDI",35,3882.6667,1,0,1,"CDI",35,3882.6667,1,0,1,"H","1985"
14.9,13,"RH","Oui",99,"CDI",35,3835.65,26,0,1,"CDI",35,3835.65,26,0,1,"F","1962"
7.4,5,"Compta Finances","Non",84,"CDI",35,9256.2167,1,1,0,"CDI",35,9256.2167,1,1,0,"F","1960"
19,7,"Consultant","Oui",8,"CDI",35,5455.45,7,0,1,"CDI",35,5455.45,7,0,1,"H","1965"
20,57,"Commercial","Oui",44,"CDI",35,8428.1167,18,1,0,"CDI",35,8428.1167,18,1,0,"H","1965"
5.8,61,"Consultant","Oui",94,"CDI",35,5810.35,36,1,0,"CDI",35,5810.35,36,1,0,"H","1978"
15.6,36,"Marketing","Non",37,"CDI",35,4022.2,14,0,1,"CDI",35,4022.2,14,0,1,"H","1960"
24,55,"RH","Oui",95,"CDI",35,5035.3333,24,0,1,"CDI",35,5035.3333,24,0,1,"H","1960"
23.9,52,"RH","Oui",29,"CDI",35,3797.7333,24,0,0,"CDI",35,3797.7333,24,0,0,"F","1965"
21.2,49,"RH","Non",47,"CDI",24,2735.2,27,0,1,"CDI",24,2735.2,27,0,1,"H","1960"
10.8,44,"Marketing","Oui",73,"CDI",35,4763.85,7,1,0,"CDI",35,4763.85,7,1,0,"F","1977"
23.3,60,"R&D","Oui",54,"CDI",35,7654.6167,5,1,1,"CDI",35,7654.6167,5,1,1,"H","1974"
10.6,18,"Commercial","Non",84,"CDI",35,8828.5167,17,0,1,"CDI",35,8828.5167,17,0,1,"F","1984"
3.5,61,"Compta Finances","Non",44,"CDI",35,2008.0667,35,0,0,"CDI",35,2008.0667,35,0,0,"F","1989"
4.8,33,"Compta Finances","Non",14,"CDI",35,4198.1333,34,1,1,"CDI",35,4198.1333,34,1,1,"F","1984"
24.7,53,"Commercial","Non",61,"CDI",35,3800.7667,9,1,1,"CDI",35,3800.7667,9,1,1,"F","1959"
5.5,46,"Compta Finances","Non",31,"CDI",35,1979.25,6,1,1,"CDI",35,1979.25,6,1,1,"H","1976"
24.2,9,"Commercial","Oui",86,"CDI",35,2828.5833,21,0,0,"CDI",35,2828.5833,21,0,0,"H","1966"
23.3,48,"R&D","Oui",57,"CDI",24,6178.64,17,0,0,"CDI",24,6178.64,17,0,0,"H","1967"
22.7,59,"Compta Finances","Oui",6,"CDI",32,6743.36,4,0,0,"CDI",32,6743.36,4,0,0,"F","1974"
9.9,45,"Commercial","Oui",1,"CDI",24,4882.8,17,1,1,"CDI",24,4882.8,17,1,1,"F","1965"
21.1,22,"Commercial","Non",15,"CDI",35,5805.8,37,0,0,"CDI",35,5805.8,37,0,0,"H","1979"
13.9,50,"Commercial","Oui",15,"CDI",35,9555,20,1,0,"CDI",35,9555,20,1,0,"F","1982"
3.8,53,"Commercial","Non",58,"CDI",35,2070.25,34,0,0,"CDI",35,2070.25,34,0,0,"F","1958"
15.1,34,"RH","Non",55,"CDI",35,5067.1833,39,1,0,"CDI",35,5067.1833,39,1,0,"F","1963"
14.3,31,"Commercial","Oui",31,"CDI",35,7713.7667,23,1,0,"CDI",35,7713.7667,23,1,0,"H","1963"
22.6,43,"R&D","Non",41,"CDI",24,4165.2,12,0,1,"CDI",24,4165.2,12,0,1,"H","1960"
17.3,69,"RH","Non",47,"CDI",35,7687.9833,9,0,0,"CDI",35,7687.9833,9,0,0,"F","1972"
9.3,57,"Compta Finances","Oui",4,"CDI",35,4204.2,39,1,1,"CDI",35,4204.2,39,1,1,"F","1966"
14.9,6,"Commercial","Non",52,"CDI",35,9488.2667,38,1,1,"CDI",35,9488.2667,38,1,1,"H","1963"
19.3,41,"Marketing","Oui",69,"CDI",35,3655.1667,33,0,1,"CDI",35,3655.1667,33,0,1,"H","1954"
1.8,59,"Consultant","Non",59,"CDD",35,2558.6167,22,,,"CDD",35,2558.6167,22,,,"H","1979"
7.2,59,"Consultant","Oui",72,"CDI",35,6413.9833,24,1,0,"CDI",35,6413.9833,24,1,0,"F","1972"
5.7,24,"Consultant","Non",87,"CDI",35,1703.2167,39,1,0,"CDI",35,1703.2167,39,1,0,"F","1969"
6.6,58,"Consultant","Non",92,"CDI",35,2027.7833,19,0,1,"CDI",35,2027.7833,19,0,1,"F","1980"
13.8,68,"Marketing","Non",59,"CDI",35,7637.9333,27,0,0,"CDI",35,7637.9333,27,0,0,"H","1980"
7.9,28,"R&D","Oui",77,"CDI",35,9573.2,5,1,0,"CDI",35,9573.2,5,1,0,"H","1969"
5.5,67,"Compta Finances","Non",66,"CDI",35,7185.9667,7,1,1,"CDI",35,7185.9667,7,1,1,"H","1956"
4.4,43,"RH","Non",20,"CDI",35,5076.2833,33,0,0,"CDI",35,5076.2833,33,0,0,"F","1963"
14,44,"Marketing","Non",40,"CDI",35,1598.5667,18,0,1,"CDI",35,1598.5667,18,0,1,"F","1983"
4.2,39,"R&D","Oui",32,"CDI",35,5212.7833,11,0,0,"CDI",35,5212.7833,11,0,0,"H","1966"
15.8,68,"Compta Finances","Oui",25,"CDI",35,8655.6167,26,1,0,"CDI",35,8655.6167,26,1,0,"F","1973"
7.2,28,"Consultant","Oui",13,"CDI",35,3891.7667,32,0,0,"CDI",35,3891.7667,32,0,0,"H","1959"
6.7,20,"Marketing","Oui",69,"CDI",35,9218.3,4,0,0,"CDI",35,9218.3,4,0,0,"F","1974"
8.2,3,"Commercial","Non",63,"CDI",35,2309.8833,23,0,0,"CDI",35,2309.8833,23,0,0,"F","1964"
19,13,"RH","Non",3,"CDI",35,9642.9667,17,0,0,"CDI",35,9642.9667,17,0,0,"H","1962"
6.4,68,"RH","Oui",32,"CDI",35,9635.3833,19,1,0,"CDI",35,9635.3833,19,1,0,"H","1975"
24.8,44,"Compta Finances","Oui",47,"CDI",24,3853.2,9,1,1,"CDI",24,3853.2,9,1,1,"F","1965"
8.1,59,"Compta Finances","Non",93,"CDI",35,4013.1,12,0,1,"CDI",35,4013.1,12,0,1,"F","1980"
19.1,50,"Consultant","Oui",99,"CDI",35,6973.6333,31,0,1,"CDI",35,6973.6333,31,0,1,"H","1965"
14.2,4,"Consultant","Oui",42,"CDI",35,2024.75,4,1,0,"CDI",35,2024.75,4,1,0,"H","1971"
7,29,"Consultant","Non",68,"CDI",35,6398.8167,11,1,0,"CDI",35,6398.8167,11,1,0,"H","1968"
24.2,62,"Consultant","Oui",60,"CDI",35,4000.9667,40,1,1,"CDI",35,4000.9667,40,1,1,"H","1975"
16.9,65,"Consultant","Oui",36,"CDI",35,6043.9167,3,1,1,"CDI",35,6043.9167,3,1,1,"H","1973"
21.2,44,"Consultant","Non",89,"CDI",35,2918.0667,39,1,1,"CDI",35,2918.0667,39,1,1,"H","1969"
19.2,35,"Commercial","Oui",74,"CDI",35,6031.7833,39,1,0,"CDI",35,6031.7833,39,1,0,"H","1971"
17.4,41,"Consultant","Oui",68,"CDI",35,2561.65,13,0,0,"CDI",35,2561.65,13,0,0,"H","1981"
16.2,47,"RH","Oui",98,"CDI",24,2507.44,18,1,1,"CDI",24,2507.44,18,1,1,"F","1969"
3.4,42,"Consultant","Oui",60,"CDI",35,2675.4,20,1,0,"CDI",35,2675.4,20,1,0,"H","1963"
12.5,53,"Compta Finances","Non",55,"CDI",35,7601.5333,19,1,1,"CDI",35,7601.5333,19,1,1,"F","1974"
6,12,"R&D","Oui",30,"CDI",35,6494.3667,1,0,0,"CDI",35,6494.3667,1,0,0,"H","1977"
16.2,19,"RH","Non",15,"CDI",35,3012.1,19,1,1,"CDI",35,3012.1,19,1,1,"F","1962"
14.3,65,"Compta Finances","Non",94,"CDI",35,6127.3333,0,1,0,"CDI",35,6127.3333,0,1,0,"F","1967"
6.2,61,"Consultant","Non",24,"CDI",35,2834.65,15,1,0,"CDI",35,2834.65,15,1,0,"H","1955"
4.6,51,"Commercial","Oui",3,"CDI",35,6212.2667,5,1,0,"CDI",35,6212.2667,5,1,0,"F","1971"
3,6,"Commercial","Non",41,"CDI",35,6838.65,5,0,0,"CDI",35,6838.65,5,0,0,"F","1985"
24.7,30,"Consultant","Non",51,"CDI",35,5739.0667,6,1,1,"CDI",35,5739.0667,6,1,1,"F","1963"
